"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2142","Check displaying of empty courses list","LMS system","Tue Dec 09 15:08:06 UTC 2025","passed","Tue Dec 09 15:08:08 UTC 2025","Courses","Courses","",""
"","1579","User login with wrong email or password","LMS system","Tue Dec 09 15:08:00 UTC 2025","passed","Tue Dec 09 15:08:02 UTC 2025","Authorization","Authentication","",""
"","1470","Create course","LMS system","Tue Dec 09 15:08:07 UTC 2025","passed","Tue Dec 09 15:08:08 UTC 2025","Courses","Courses","",""
"","1464","Navigation from login page to registration page","LMS system","Tue Dec 09 15:08:02 UTC 2025","passed","Tue Dec 09 15:08:04 UTC 2025","Authorization","Authentication","",""
"","1567","Registration with correct email, username and password","LMS system","Tue Dec 09 15:08:04 UTC 2025","passed","Tue Dec 09 15:08:05 UTC 2025","Registration","Authentication","",""
"","1663","User login with wrong email or password","LMS system","Tue Dec 09 15:07:58 UTC 2025","passed","Tue Dec 09 15:08:00 UTC 2025","Authorization","Authentication","",""
"","2912","User login with correct email and password","LMS system","Tue Dec 09 15:08:00 UTC 2025","passed","Tue Dec 09 15:08:03 UTC 2025","Authorization","Authentication","",""
"","1635","User login with wrong email or password","LMS system","Tue Dec 09 15:07:58 UTC 2025","passed","Tue Dec 09 15:08:00 UTC 2025","Authorization","Authentication","",""
"","2669","Edit course","LMS system","Tue Dec 09 15:08:08 UTC 2025","passed","Tue Dec 09 15:08:11 UTC 2025","Courses","Courses","",""
"","1688","Check displaying of dashboard page","LMS system","Tue Dec 09 15:08:09 UTC 2025","passed","Tue Dec 09 15:08:10 UTC 2025","Dashboard","Dashboard","",""
